English,Tibetan,THL Phonetics,example,eng
,ཀ,ka,ཀ་རག,whitewash
,ཁ་,k'a,ཁ།,mouth
,ག,ga,ག་པ།,bald
,ང,nga,ངང་པ།,swan
,ཅ,cha,ཅ་ལག,objects
,ཆ,ch'a,ཆ།,pair
,ཇ,ja,ཇ་དམ།,thermos
,ཉ,nya,ཉ།,fish
,ཏ,ta,ཏ་ལ།,palm tree
,ཐ,t'a,ཐག་པ།,rope
,ད,da,ད་ར།,buttermilk
,ན,na,ན་གཞོན།,youth
,པ,pa,པ་ཕ།,father
,ཕ,p'a,ཕ་མ།,parents
,བ,ba,བ་ཕྱུགས།,cow
,མ,ma,མེ་ལོང།,mirror
,ཙ,tsa,ཙ་དར།,shawl
,ཚ,ts'a,ཚ་ལུ་མ།,orange
,ཛ,dza,ཛ་ཕོག,cactus
,བ,wa,ལྦ།,fox
,ཞ,zha,ཞ་མོ།,hat
,ཟ,za,ཟ་མ།,meal
,འ,a,འ་ཡོ།,puppy
,ཡ,ya,ཡལ་ག,branch
,ར,ra,ར།,goat
,ལ,la,ལ་ཕུག,radish
,ཤ,sha,ཤ་མོང།,mushroom
,ས,sa,ས།,soil
,ཧ,ha,ཧ་ཡང།,utensil
,ཨ,a,ཨ་མ།,mother
