English,Tibetan,THL Phonetics
kitchen,ཐབ་ཚང།,thab tshang
stove ,ཐབ་ཁ་,thab kha
cook,མ་བྱན།,ma jan
spoon,ཐུར་མ།,thur ma
chopsticks,ཁོ་རྩེ།,kho tse
fork,ཚེབ་ཐུར།,tshep thur
momo streamer,མོག་ཀྲུ།,mog tu
aluminium pan,ཧ་ཡང།,ha yang
frying pan,ཚལ་སླང།,tshal lang
kitchen knife,ཚལ་གྲི།,tshal dri
vegetables,སྔོ་ཚལ།,gno tshal
meat,ཤ,sha
roasted flour,རྩམ་པ།,tsam pa
flour,བྲོ་ཞིབ།,tro zhip
rice,འབྲས།,dre
soup (noodles),ཐུག་པ།,thuk pa
momo soup,མོག་ཐུག,mok thuk
instant noodles,སྐམ་ཐུག,kam thuk
bread,བག་ལེབ།,pak lep
momo,མོག་མོག,mok mok
dumplings,ཀྲིག་མོག,trik mok
cheese,ཆུར་བ།,chur wa
milk,འོ་མ།,o ma
butter,མར།,mar
